epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.53113,1.73409,0.34667,0.96,1.62945,0.00016,0.00016,0.00016
2,4.73514,1.61062,0.34667,0.94667,1.59025,0.00031911,0.00031911,0.00031911
3,5.83063,1.53001,0.36,0.94667,1.53302,0.000467,0.000467,0.000467
4,6.71764,1.43696,0.38667,0.96,1.49618,0.00060367,0.00060367,0.00060367
5,7.68074,1.32825,0.37333,0.96,1.48927,0.00072912,0.00072912,0.00072912
6,8.56526,1.21771,0.42667,0.96,1.54078,0.000835,0.000835,0.000835
7,9.50171,1.0642,0.44,0.97333,1.49605,0.000802,0.000802,0.000802
8,10.3307,0.96448,0.42667,0.97333,1.55315,0.000769,0.000769,0.000769
9,11.1721,0.85704,0.45333,0.97333,1.3514,0.000736,0.000736,0.000736
10,11.9617,0.80335,0.53333,0.98667,1.41854,0.000703,0.000703,0.000703
11,12.7147,0.65399,0.50667,0.98667,1.32283,0.00067,0.00067,0.00067
12,13.4786,0.64649,0.52,0.98667,1.26074,0.000637,0.000637,0.000637
13,14.2331,0.60429,0.53333,0.98667,1.60917,0.000604,0.000604,0.000604
14,14.9974,0.57544,0.53333,0.98667,1.40462,0.000571,0.000571,0.000571
15,15.8569,0.50391,0.53333,0.96,1.51399,0.000538,0.000538,0.000538
16,16.6643,0.53161,0.50667,0.97333,1.4714,0.000505,0.000505,0.000505
17,17.5447,0.433,0.50667,0.96,1.53909,0.000472,0.000472,0.000472
18,18.2857,0.40096,0.48,0.97333,1.522,0.000439,0.000439,0.000439
19,19.0917,0.36456,0.48,0.97333,1.67252,0.000406,0.000406,0.000406
20,20.0189,0.36558,0.52,0.97333,1.53388,0.000373,0.000373,0.000373
21,22.1166,0.32285,0.50667,0.97333,1.54322,0.00034,0.00034,0.00034
22,23.165,0.35632,0.53333,0.97333,1.70333,0.000307,0.000307,0.000307
23,24.0293,0.25956,0.53333,0.97333,1.36177,0.000274,0.000274,0.000274
24,24.7937,0.33042,0.49333,0.97333,1.38351,0.000241,0.000241,0.000241
25,25.5077,0.24549,0.52,0.97333,1.86664,0.000208,0.000208,0.000208
26,26.2561,0.27677,0.52,0.97333,1.36232,0.000175,0.000175,0.000175
27,27.1786,0.21302,0.56,0.97333,1.51669,0.000142,0.000142,0.000142
28,28.0414,0.2232,0.54667,0.97333,1.50431,0.000109,0.000109,0.000109
29,28.7507,0.20279,0.54667,0.97333,1.46166,7.6e-05,7.6e-05,7.6e-05
30,29.4904,0.2443,0.53333,0.96,1.43279,4.3e-05,4.3e-05,4.3e-05
